Date         No. of articles
2018-01-01   1
2018-01-03   1
2018-01-10   1
2018-01-19   1
2018-01-22   1
2018-01-23   1
2018-01-25   1
2018-01-27   1
2018-02-02   1
2018-02-07   2
2018-02-08   1
2018-02-09   1
2018-02-12   1
2018-02-13   1
2018-02-18   1
2018-02-19   1
2018-02-21   1
2018-02-22   1
2018-03-02   1
2018-03-03   1
2018-03-08   1
2018-03-12   1
2018-03-15   2
2018-03-19   1
2018-03-21   1
2018-03-24   1
2018-03-26   1
2018-03-30   1
2018-04-03   1
2018-04-08   1
2018-04-09   2
2018-04-14   1
2018-04-16   3
2018-04-18   1
2018-04-19   3
2018-04-20   3
2018-04-23   1
2018-04-24   5
2018-04-25   1
2018-04-26   2
2018-04-28   1
2018-05-01   2
2018-05-04   1
2018-05-08   2
2018-05-11   1
2018-05-13   1
2018-05-16   1
2018-05-17   1
2018-05-21   1
2018-05-26   1
2018-05-30   1
2018-05-31   2
2018-06-01   3
2018-06-03   1
2018-06-05   1
2018-06-06   2
2018-06-07   4
2018-06-08   4
2018-06-09   5
2018-06-10   4
2018-06-11   10
2018-06-12   5
2018-06-13   2
2018-06-15   3
2018-06-17   1
2018-06-18   2
2018-06-19   3
2018-06-20   2
2018-06-21   2
2018-06-23   1
2018-06-25   1
2018-06-26   1
2018-06-28   1
2018-06-29   2
2018-06-30   1
2018-07-02   1
2018-07-03   2
2018-07-06   3
2018-07-08   2
2018-07-10   2
2018-07-11   1
2018-07-12   2
2018-07-15   1
2018-07-16   1
2018-07-18   1
2018-07-23   1
2018-07-27   1
2018-08-06   1
2018-08-07   1
2018-08-08   1
2018-08-09   1
2018-08-11   1
2018-08-21   1
2018-08-26   1
2018-08-28   1
2018-08-29   2
2018-08-30   4
2018-09-06   1
2018-09-08   1
2018-09-09   1
2018-09-10   1
2018-09-17   3
2018-09-22   1
2018-09-24   1
2018-09-25   1
2018-09-26   1
2018-09-28   1
2018-09-29   1
2018-10-01   1
2018-10-02   1
2018-10-03   1
2018-10-04   1
2018-10-10   2
2018-10-16   3
2018-10-17   1
2018-10-18   1
2018-10-20   1
2018-10-22   2
2018-10-24   2
2018-10-25   1
2018-10-26   1
2018-11-03   1
2018-11-06   1
2018-11-09   1
2018-11-11   3
2018-11-12   5
2018-11-13   3
2018-11-14   1
2018-11-15   3
2018-11-16   1
2018-11-24   1
2018-11-25   1
2018-11-28   2
2018-11-30   2
2018-12-01   2
2018-12-02   2
2018-12-03   3
2018-12-04   3
2018-12-06   1
2018-12-07   2
2018-12-08   1
2018-12-10   1
2018-12-11   1
2018-12-17   2
2018-12-18   1
2018-12-19   1
2018-12-20   1
2019-01-01   1
2019-01-02   2
2019-01-06   1
2019-01-09   1
2019-01-11   1
2019-01-12   2
2019-01-15   2
2019-01-16   1
2019-01-21   1
2019-01-25   1
2019-01-29   2
2019-01-31   1
2019-02-02   1
2019-02-03   2
2019-02-04   1
2019-02-12   1
2019-02-13   1
2019-02-21   1
2019-02-22   1
2019-02-23   1
2019-02-26   1
2019-02-27   2
2019-02-28   3
2019-03-01   2
2019-03-05   1
2019-03-06   1
2019-03-07   3
2019-03-10   1
2019-03-18   1
2019-03-21   3
2019-03-25   3
2019-03-26   1
2019-03-28   2
2019-04-03   2
2019-04-06   1
2019-04-14   1
2019-04-15   2
2019-04-17   2
2019-04-21   1
2019-04-24   1
2019-04-29   1
2019-04-30   1
2019-05-02   1
2019-05-13   1
2019-05-14   1
2019-05-15   2
2019-05-16   1
2019-05-17   1
2019-05-24   1
2019-05-31   1
2019-06-03   2
2019-06-06   1
2019-06-10   1
2019-06-11   1
2019-06-14   1
2019-06-18   1
2019-06-19   2
2019-06-20   1
2019-06-21   1
2019-06-30   1
2019-07-01   2
2019-07-03   1
2019-07-05   1
2019-07-14   1
2019-07-15   1
2019-07-16   1
2019-07-18   1
2019-07-19   2
2019-07-27   1
2019-07-30   1
2019-08-13   1
2019-08-14   1
2019-08-21   1
2019-08-22   3
2019-08-23   1
2019-08-24   1
2019-08-25   1
2019-08-26   1
2019-08-28   2
2019-09-04   2
2019-09-05   1
2019-09-06   1
2019-09-10   1
2019-09-11   2
2019-09-17   1
2019-09-18   1
2019-09-19   7
2019-09-20   6
2019-09-21   1
2019-09-23   1
2019-09-24   1
2019-09-25   1
2019-09-26   3
2019-09-27   1
2019-09-30   2
2019-10-02   1
2019-10-04   2
2019-10-06   1
2019-10-08   1
2019-10-10   1
2019-10-14   1
2019-10-16   2
2019-10-18   2
2019-10-20   1
2019-10-21   2
2019-10-22   7
2019-10-23   3
2019-10-27   1
2019-11-06   1
2019-11-20   1
2019-11-21   3
2019-11-25   1
2019-12-03   1
2019-12-04   10
2019-12-05   8
2019-12-06   2
2019-12-07   2
2019-12-08   1
2019-12-12   1
2019-12-17   1
2019-12-26   1
2019-12-27   1
2019-12-28   1
2020-01-07   1
2020-01-08   2
2020-01-09   6
2020-01-10   4
2020-01-11   4
2020-01-12   2
2020-01-13   3
2020-01-14   5
2020-01-15   2
2020-01-16   1
2020-01-18   1
2020-01-20   1
2020-01-21   1
2020-01-22   1
2020-01-24   1
2020-01-31   2
2020-02-05   3
2020-02-06   2
2020-02-08   1
2020-02-12   1
